order_id;accepted_at;product_id;quantity;regular_price;price;cost_price
1516729899;2022-01-10 16:37:37;10163;1;329;329;254
1518335746;2022-01-16 12:22:02;10163;1;329;329;229
1518354200;2022-01-15 17:03:41;10163;1;329;329;229
1516838503;2022-01-11 12:31:53;10163;1;329;329;254
1516739758;2022-01-10 19:33:35;10163;1;329;329;254
1517157224;2022-01-12 13:15:43;10163;1;329;329;254
1518260225;2022-01-15 17:14:58;17122;1;169;169;74
1518287391;2022-01-15 12:31:09;17122;1;169;169;74
1518356072;2022-01-16 13:10:31;17122;1;169;169;74
1518208006;2022-01-15 15:24:15;17122;1;169;169;74
1517514900;2022-01-13 16:48:19;17122;1;169;169;74
1517430051;2022-01-13 16:46:53;17122;1;169;169;74
1517578174;2022-01-13 18:12:30;17122;1;169;169;74
1516638726;2022-01-10 17:42:39;5870;1;129;129;62
1516900631;2022-01-11 16:08:18;5870;1;129;129;62
1518243253;2022-01-15 18:59:21;5870;2;129;129;62
1518155966;2022-01-15 17:13:43;22199;1;219;219;130
1517466327;2022-01-13 15:11:12;22199;1;219;219;130
1517429157;2022-01-13 19:15:59;22199;1;219;219;130
1517416615;2022-01-13 10:39:06;22199;1;219;219;130
1518478020;2022-01-16 20:22:50;22199;1;219;219;130
1517577392;2022-01-13 11:50:14;22199;1;219;219;130
1518152803;2022-01-15 17:21:58;105797;1;125;125;82
1518607494;2022-01-16 11:15:47;10179;1;256;256;157
1517262950;2022-01-12 15:32:12;10179;1;256;256;157
1518301215;2022-01-15 17:26:23;10179;1;256;256;157
1518577675;2022-01-16 18:32:27;10179;1;256;256;157
1517969239;2022-01-15 14:42:21;11635;1;299;299;128
1517443550;2022-01-13 08:08:04;3414;6;27;27;22
1517623373;2022-01-13 16:17:00;3414;3;27;27;22
1516813440;2022-01-10 16:32:30;3414;2;27;27;22
1518406990;2022-01-16 08:07:20;3414;1;27;27;22
1516519535;2022-01-10 12:56:20;47819;1;119;119;65
1518581173;2022-01-16 19:10:54;47819;2;119;119;65
1517496176;2022-01-13 20:59:03;47819;1;119;119;65
1518050062;2022-01-15 14:38:02;47819;1;119;119;65
1517500193;2022-01-13 19:06:16;47819;2;119;119;65
1518177019;2022-01-15 20:49:54;47819;1;119;119;65
1518148768;2022-01-15 11:47:21;47819;1;119;119;65
1517870391;2022-01-14 20:52:43;47819;1;119;119;65
1517572991;2022-01-13 18:00:18;19210;1;99;69;48
1518149570;2022-01-15 22:09:36;19210;1;99;69;48
1517597202;2022-01-13 22:51:11;19210;1;99;69;48
1518196308;2022-01-15 13:22:28;19210;1;99;69;48
1518058210;2022-01-15 21:17:32;19210;1;99;69;48
1517573507;2022-01-13 14:12:59;19210;1;99;69;48
1518262065;2022-01-15 17:13:22;19210;1;99;69;48
1517510906;2022-01-13 10:05:49;75726;1;999;770;450
